,Gender,Discipline,Career Stage,EPAO
1703,f,atmospheric dynamics,professor,Atmosphere
1704,m,atmospheric dynamics,professor,Atmosphere
1705,m,atmospheric dynamics,professor,Atmosphere
1706,m,geophysics,associate professor,Earth
1707,f,"geobiology, geology",associate professor,Earth
1708,m,"paleoclimate, geology",associate professor,Earth
1709,f,hydrology,associate professor,
1710,m,"hydrology, geology",professor,Earth
1711,m,"geobiology, paleontology",professor,Earth
1712,f,"biological oceanography, biogeochemistry",assistant professor,Ocean
1713,m,"biological oceanography, geochemistry, ecology",assistant professor,Ocean
1714,f,"chemical oceanography, geochemistry, biogeochemistry",assistant professor,Ocean
1715,f,"physical oceanography, biological oceanography",assistant professor,Ocean
1716,m,geophysics,assistant professor,Earth
1717,m,gis/engineering,assistant professor,
1718,m,"biogeochemistry, chemical oceanography, physical oceanography",associate professor,Ocean
1719,f,"chemical oceanography, ecology, biological oceanography",associate professor,Ocean
1720,f,physical oceanography,associate professor,Ocean
1721,m,gis/engineering,professor,
1722,m,"ecology, biological oceanography",professor,Ocean
1723,m,physical oceanography,professor,Ocean
1724,m,marine geology,professor,Earth
1725,f,physical oceanography,professor,Ocean
1726,m,"physical oceanography, atmospheric dynamics",professor,Ocean
1727,m,"physical oceanography, atmospheric dynamics",professor,Ocean
1728,m,chemical oceanography,professor,Ocean
1729,f,"geology, geochemistry",professor,Earth
1730,m,"marine geology, geophysics",professor,Earth
1731,m,"chemical oceanography, biogeochemistry",professor,Ocean
1732,f,"biological oceanography, biogeochemistry, ecology",professor,Ocean
1733,f,"biogeochemistry, geochemistry, chemical oceanography",professor,Ocean
1734,m,physical oceanography,professor,Ocean
1735,m,physical oceanography,professor,Ocean
1736,f,"biological oceanography, ecology",professor,Ocean
1737,m,"geophysics, marine geology",professor,Earth
1738,m,biological oceanography,professor,Ocean
1739,m,"biogeochemistry, geochemistry, chemical oceanography",professor,Ocean
1740,m,"geomorphology, marine geology",professor,Earth
1741,f,"biological oceanography, ecology",professor,Ocean
1742,f,geopolitics/impacts,assistant professor,Earth
1743,f,geopolitics/impacts,assistant professor,Earth
1744,f,"biogeochemistry, chemical oceanography, biological oceanography",assistant professor,Ocean
1745,m,"geochemistry, geology",assistant professor,Earth
1746,m,geopolitics/impacts,assistant professor,Earth
1747,m,geopolitics/impacts,assistant professor,Earth
1748,m,geopolitics/impacts,assistant professor,Earth
1749,f,ecology,assistant professor,
1750,m,"ecology, geochemistry, biological oceanography",assistant professor,Ocean
1751,f,"education, geophysics",assistant professor,Earth
1752,m,geology,associate professor,Earth
1753,m,"geochemistry, geoogy",associate professor,Earth
1754,f,"biogeochemistry, chemical oceanography, biological oceanography",associate professor,Ocean
1755,m,"paleoclimate, geology",associate professor,Earth
1756,m,"paleoceanography, geochemistry",associate professor,Ocean
1757,m,geopolitics/impacts,associate professor,Earth
1758,f,biogeochemistry,associate professor,Earth
